category,name
Stress Less Cabinet,Katz Cinnamon Donut Hole
The Kitchen Table,Smiley Fries
The Kitchen Table,Cauliflower Rice
Vegan Plant Forward,Roasted Cherry Tomatoes
Create,Blueberries
Rotisserie,Steamed Snow Peas
Pizza,Banana Peppers
Soup and Salads,Double Chicken Noodle Soup
Pizza,Jalapeno Peppers
Create,Spicy Tuna Roll
International Flavors,Mac & Cheese Chili Frito Bake
Simply Prepared Grill,Yellow Rice
Specialty Bakery,Brookies
Bakery,Raspberry Chocolate Chip Muffins
International Flavors,Sweet and Sour Pork with Rice
Plant Forward,Brown Rice
Vegan Plant Forward,Guacamole Spread
The Kitchen Table,Honey Mustard Glazed Ham
Plant Forward,Cauliflower Lentil Coconut Curry
Vegan Plant Forward,Spinach Onion Pakoras
Simply Prepared Grill,Roasted Al Pastor Pork
Vegan Plant Forward,Vegan Blueberry Pancake
Specialty Bakery,Coconut Cake
Burritos & Bowls,Pickled Ginger
The Kitchen Table,Roasted Cauliflower
Pasta,Andouille Sausage Pasta Bake
Rotisserie,Potato Chickpea Curry
Specialty Bakery,Coffee Cake
The Kitchen Table,Grilled Ham Steak
The Kitchen Table,Honey Glazed Baby Carrots
Soup and Salads,Chili Con Carne
Rotisserie,Seasoned Green Chili Corn
Pasta,Bolognese Penne
The Griddle,Shrimp Po Boy
Specialty Bakery,Apple Crumb Cake
Vegan Plant Forward,Chickpea Ragout
Nacho Bar,Puerto Rican Roasted Pork
The Grill,Southwest Burger
The Griddle,Chicken & Cheese Quesadilla
Create,Smoked Salmon Sushi
Specialty Bakery,Rice Krispie Treats
Chef's Corner,Mushrooms
Simply Prepared Grill,Collard Greens
Bakery,Apple Turnover
Bakery,Overnight Coconut & Mango Oats
Rotisserie,Grilled Montreal Salmon
Rotisserie,Long Grain Jasmine Rice
Rotisserie,Lo Mein Noodles
International Flavors,Spicy Shrimp and Grits
Simply Prepared Grill,East African Style Chicken
Plant Forward,Roasted Cherry Tomatoes
Simply Prepared Grill,Steamed Corn
Plant Forward,Mashed Sweet Potatoes with Apples
